id,project_reference,identifier,version,created_on,category_id,active
1,1690,13629,1,2019-03-23,3,false
2,1128,13629,2,2019-03-23,2,false
3,1674,13629,3,2019-03-23,4,false
4,1399,13629,4,2019-03-23,2,true
5,1809,10202,1,2019-03-23,3,false
6,1034,10202,2,2019-03-23,3,false
7,1596,10202,3,2019-03-23,4,false
8,1755,10202,4,2019-03-23,3,true
9,1463,15379,1,2019-03-23,4,false
10,1701,15379,2,2019-03-23,1,false
11,1954,15379,3,2019-03-23,1,false
12,1317,15379,4,2019-03-23,3,false
13,1859,15379,5,2019-03-23,1,false
14,1859,15379,6,2019-03-23,3,false
15,1690,15379,7,2019-03-23,1,false
16,1789,15379,8,2019-03-23,3,false
17,1755,15379,9,2019-03-23,1,true
18,1927,15379,10,2019-03-23,4,false
19,1859,14007,1,2019-03-23,3,false
20,1317,14007,2,2019-03-23,4,false
21,1960,14007,3,2019-03-23,2,false
22,1859,14007,4,2019-03-23,2,true
23,1902,15343,1,2019-03-23,2,false
24,1789,15343,2,2019-03-23,3,false
25,1295,15343,3,2019-03-23,1,false
26,1954,15343,4,2019-03-23,4,true
27,1403,13579,1,2019-03-23,4,false
28,1034,13579,2,2019-03-23,3,false
29,1399,13579,3,2019-03-23,3,false
30,1796,13579,4,2019-03-23,1,false
31,1034,13579,5,2019-03-23,2,true
32,1954,17768,1,2019-03-23,3,false
33,1403,17768,2,2019-03-23,2,false
34,1954,17768,3,2019-03-23,3,false
35,1295,17768,4,2019-03-23,2,true
36,1701,18862,1,2019-03-23,4,false
37,1859,18862,2,2019-03-23,4,false
38,1960,18862,3,2019-03-23,2,false
39,1070,18862,4,2019-03-23,2,false
40,1128,18862,5,2019-03-23,1,true
41,1789,14480,1,2019-03-23,1,false
42,1295,14480,2,2019-03-23,1,false
43,1902,14480,3,2019-03-23,4,false
44,1789,14480,4,2019-03-23,4,false
45,1667,14480,5,2019-03-23,3,false
46,1927,14480,6,2019-03-23,3,false
47,1317,14480,7,2019-03-23,3,false
48,1596,14480,8,2019-03-23,4,false
49,1789,14480,9,2019-03-23,2,true
50,1927,18592,1,2019-03-23,3,false
51,1403,18592,2,2019-03-23,1,false
52,1960,18592,3,2019-03-23,4,false
53,1667,18592,4,2019-03-23,2,false
54,1403,18592,5,2019-03-23,2,false
55,1927,18592,6,2019-03-23,3,true
56,1789,18923,1,2019-03-23,3,false
57,1403,18923,2,2019-03-23,4,false
58,1039,18923,3,2019-03-23,4,false
59,1596,18923,4,2019-03-23,4,false
60,1463,18923,5,2019-03-23,4,false
61,1902,18923,6,2019-03-23,1,false
62,1039,18923,7,2019-03-23,1,false
63,1755,18923,8,2019-03-23,4,false
64,1070,18923,9,2019-03-23,4,true
65,1902,18923,10,2019-03-23,3,false
66,1755,16351,1,2019-03-23,2,false
67,1701,16351,2,2019-03-23,3,false
68,1434,16351,3,2019-03-23,4,false
69,1690,16351,4,2019-03-23,1,false
70,1789,16351,5,2019-03-23,1,false
71,1902,16351,6,2019-03-23,4,false
72,1755,16351,7,2019-03-23,2,false
73,1434,16351,8,2019-03-23,1,false
74,1070,16351,9,2019-03-23,3,true
75,1596,15194,1,2019-03-23,3,false
76,1954,15194,2,2019-03-23,1,false
77,1250,15194,3,2019-03-23,2,false
78,1796,15194,4,2019-03-23,3,false
79,1796,15194,5,2019-03-23,1,false
80,1796,15194,6,2019-03-23,3,false
81,1034,15194,7,2019-03-23,1,true
82,1317,16104,1,2019-03-23,3,false
83,1128,16104,2,2019-03-23,4,false
84,1070,16104,3,2019-03-23,3,false
85,1789,16104,4,2019-03-23,1,false
86,1755,16104,5,2019-03-23,4,false
87,1954,16104,6,2019-03-23,4,false
88,1667,16104,7,2019-03-23,3,false
89,1960,16104,8,2019-03-23,4,true
90,1070,14581,1,2019-03-23,3,false
91,1796,14581,2,2019-03-23,2,false
92,1667,14581,3,2019-03-23,1,false
93,1789,14581,4,2019-03-23,3,false
94,1128,14581,5,2019-03-23,1,false
95,1317,14581,6,2019-03-23,4,false
96,1859,14581,7,2019-03-23,4,false
97,1954,14581,8,2019-03-23,1,false
98,1596,14581,9,2019-03-23,4,true
99,1954,14581,10,2019-03-23,1,false
100,1403,19213,1,2019-03-23,3,false
101,1070,19213,2,2019-03-23,3,false
102,1789,19213,3,2019-03-23,2,false
103,1701,19213,4,2019-03-23,4,false
104,1960,19213,5,2019-03-23,4,true
105,1399,14516,1,2019-03-23,1,false
106,1034,14516,2,2019-03-23,3,false
107,1070,14516,3,2019-03-23,4,false
108,1902,14516,4,2019-03-23,4,false
109,1954,14516,5,2019-03-23,3,false
110,1755,14516,6,2019-03-23,4,false
111,1317,14516,7,2019-03-23,4,false
112,1701,14516,8,2019-03-23,1,false
113,1039,14516,9,2019-03-23,1,true
114,1434,14516,10,2019-03-23,3,false
115,1399,18167,1,2019-03-23,1,false
116,1796,18167,2,2019-03-23,4,false
117,1596,18167,3,2019-03-23,1,false
118,1796,18167,4,2019-03-23,1,false
119,1434,18167,5,2019-03-23,3,false
120,1809,18167,6,2019-03-23,4,false
121,1596,18167,7,2019-03-23,1,false
122,1902,18167,8,2019-03-23,1,false
123,1960,18167,9,2019-03-23,2,true
124,1596,18167,10,2019-03-23,4,false
125,1250,13413,1,2019-03-23,1,false
126,1463,13413,2,2019-03-23,4,false
127,1070,13413,3,2019-03-23,3,false
128,1859,13413,4,2019-03-23,2,false
129,1789,13413,5,2019-03-23,1,false
130,1463,13413,6,2019-03-23,1,false
131,1755,13413,7,2019-03-23,1,false
132,1434,13413,8,2019-03-23,3,false
133,1789,13413,9,2019-03-23,3,true
134,1128,13413,10,2019-03-23,4,false
135,1317,18690,1,2019-03-23,1,false
136,1250,18690,2,2019-03-23,2,false
137,1789,18690,3,2019-03-23,4,false
138,1034,18690,4,2019-03-23,4,false
139,1034,18690,5,2019-03-23,2,false
140,1250,18690,6,2019-03-23,1,false
141,1859,18690,7,2019-03-23,1,true
142,1596,18856,1,2019-03-23,1,false
143,1927,18856,2,2019-03-23,1,false
144,1596,18856,3,2019-03-30,2,false
145,1859,18856,4,2019-03-30,1,false
146,1690,18856,5,2019-03-30,1,false
147,1667,18856,6,2019-03-30,2,false
148,1859,18856,7,2019-03-30,2,true
149,1034,16270,1,2019-03-30,1,false
150,1317,16270,2,2019-03-30,2,false
151,1434,16270,3,2019-03-30,1,false
152,1034,16270,4,2019-03-30,2,false
153,1434,16270,5,2019-03-30,2,false
154,1954,16270,6,2019-03-30,1,false
155,1070,16270,7,2019-03-30,4,false
156,1070,16270,8,2019-03-30,4,true
157,1317,10519,1,2019-03-30,1,false
158,1809,10519,2,2019-03-30,4,false
159,1954,10519,3,2019-03-30,2,false
160,1755,10519,4,2019-03-30,1,false
161,1674,10519,5,2019-03-30,1,true
162,1755,14196,1,2019-03-30,2,false
163,1463,14196,2,2019-03-30,4,false
164,1927,14196,3,2019-03-30,2,false
165,1796,14196,4,2019-03-30,1,false
166,1796,14196,5,2019-03-30,1,false
167,1295,14196,6,2019-03-30,4,false
168,1960,14196,7,2019-03-30,2,false
169,1927,14196,8,2019-03-30,4,true
170,1250,13617,1,2019-03-30,3,false
171,1954,13617,2,2019-03-30,1,false
172,1789,13617,3,2019-03-30,4,false
173,1859,13617,4,2019-03-30,1,false
174,1434,13617,5,2019-03-30,4,false
175,1128,13617,6,2019-03-30,1,false
176,1034,13617,7,2019-03-30,3,false
177,1399,13617,8,2019-03-30,4,false
178,1902,13617,9,2019-03-30,4,true
179,1954,11703,1,2019-03-30,4,false
180,1399,11703,2,2019-03-30,4,false
181,1434,11703,3,2019-03-30,4,false
182,1701,11703,4,2019-03-30,1,false
183,1701,11703,5,2019-03-30,4,true
184,1927,10514,1,2019-03-30,3,false
185,1399,10514,2,2019-03-30,1,false
186,1927,10514,3,2019-03-30,4,false
187,1809,10514,4,2019-03-30,2,false
188,1039,10514,5,2019-03-30,2,false
189,1859,10514,6,2019-03-30,2,false
190,1463,10514,7,2019-03-30,2,true
191,1039,16650,1,2019-03-30,3,false
192,1034,16650,2,2019-03-30,4,false
193,1690,16650,3,2019-03-30,1,true
194,1034,12329,1,2019-03-30,1,false
195,1463,12329,2,2019-03-30,2,false
196,1954,12329,3,2019-03-30,2,false
197,1690,12329,4,2019-03-30,1,false
198,1701,12329,5,2019-03-30,3,false
199,1701,12329,6,2019-03-30,2,false
200,1674,12329,7,2019-03-30,1,false
201,1859,12329,8,2019-03-30,4,false
202,1674,12329,9,2019-03-30,3,true
203,1434,19357,1,2019-03-30,1,false
204,1690,19357,2,2019-03-30,2,false
205,1250,19357,3,2019-03-30,1,false
206,1399,19357,4,2019-03-30,4,true
207,1796,10472,1,2019-03-30,4,false
208,1755,10472,2,2019-03-30,3,false
209,1674,10472,3,2019-03-30,1,false
210,1070,10472,4,2019-03-30,1,false
211,1789,10472,5,2019-03-30,2,false
212,1796,10472,6,2019-03-30,2,false
213,1399,10472,7,2019-03-30,3,false
214,1690,10472,8,2019-03-30,2,true
215,1902,12809,1,2019-03-30,2,false
216,1039,12809,2,2019-03-30,1,false
217,1039,12809,3,2019-03-30,3,false
218,1674,12809,4,2019-03-30,4,false
219,1859,12809,5,2019-03-30,4,false
220,1295,12809,6,2019-03-30,3,false
221,1399,12809,7,2019-03-30,3,false
222,1809,12809,8,2019-03-30,1,false
223,1039,12809,9,2019-03-30,4,true
224,1809,12809,10,2019-03-30,1,false
225,1902,16259,1,2019-03-30,4,false
226,1317,16259,2,2019-03-30,3,false
227,1128,16259,3,2019-03-30,4,false
228,1789,16259,4,2019-03-30,2,false
229,1960,16259,5,2019-03-30,3,true
230,1755,17246,1,2019-03-30,1,false
231,1902,17246,2,2019-03-30,1,false
232,1399,17246,3,2019-03-30,4,false
233,1039,17246,4,2019-03-30,3,false
234,1250,17246,5,2019-03-30,1,false
235,1128,17246,6,2019-03-30,3,false
236,1960,17246,7,2019-03-30,3,true
237,1317,18634,1,2019-03-30,1,false
238,1755,18634,2,2019-03-30,4,false
